model,fixed_gate_alpha,quantile,threshold,fpr_val,fpr_test,n_val,n_test
gated,0.3,0.95,0.25564590096473694,0.05,0.035252178505413255,17180,15148
gated,0.3,0.97,0.36692196130752563,0.030034924330616997,0.02039873250594138,17180,15148
gated,0.3,0.99,0.612865686416626,0.010011641443538999,0.006007393715341959,17180,15148
gated,0.3,0.999,1.0785343647003174,0.0010477299185098952,0.0011222603644045418,17180,15148
gated,0.5,0.95,0.33973339200019836,0.05,0.03584631634539213,17180,15148
gated,0.5,0.97,0.4497995972633362,0.030034924330616997,0.02165302350145234,17180,15148
gated,0.5,0.99,0.663261353969574,0.010011641443538999,0.007129654079746501,17180,15148
gated,0.5,0.999,1.0486721992492676,0.0010477299185098952,0.0013863216266173752,17180,15148
gated,0.7,0.95,0.5288771390914917,0.05,0.03538420913651967,17180,15148
gated,0.7,0.97,0.633667528629303,0.030034924330616997,0.02165302350145234,17180,15148
gated,0.7,0.99,0.8526247143745422,0.010011641443538999,0.007261684710852918,17180,15148
gated,0.7,0.999,1.2100244760513306,0.0010477299185098952,0.002046474782149459,17180,15148
